"zone","apex_a_ips","apex_a_proxied","www_cname_target","www_cname_proxied","m365_compliant"
"3dmc2.org","184.182.219.182","True","3dmc2.org","True","False"
"alltypetowing.com","204.44.192.77","True","","","False"
"apollonianfp.org","153.92.213.212","True","","","False"
"aprilhansen.com","204.44.192.77","True","aprilhansen.com","True","False"
"armstrongacesbaseball.org","204.44.192.77","False","armstrongacesbaseball.org","True","False"
"bboc4vets.org","52.184.222.116","True","","","False"
"bintobetter.org","185.199.108.153;185.199.111.153;185.199.110.153;185.199.109.153","False;False;False;False","freeforcharity.github.io","False","False"
"bringingpeople2people.org","","","","","False"
"browncanyonranch.org","204.44.192.77","True","browncanyonranch.org","True","True"
"bucktownbullsbaseball.org","204.44.192.77","True","bucktownbullsbaseball.org","True","False"
"bulldogztowing.com","204.44.192.77","True","","","False"
"canadatokeywestcoastalrun.com","","","canadatokeywestcoastalrun.org","True","False"
"canadatokeywestcoastalrun.org","153.92.213.212","True","","","False"
"cochiserobotics.org","52.184.222.116","True","cochiserobotics.org","True","True"
"coronadonationalforestheritagesociety.org","204.44.192.77","True","coronadonationalforestheritagesociety.org","True","True"
"cvrs-us.org","192.64.86.202","True","","","False"
"dropletsoflove.org","192.64.86.202","True","","","False"
"educationandempowerment.org","153.92.213.212","True","educationandempowerment.org","True","True"
"emc-professional.com","192.64.86.202","True","","","False"
"emc-professional.org","","","","","False"
"exceptionalridersprogram.com","185.199.220.110","True","exceptionalridersprogram.com","True","False"
"exceptionalridersprogram.org","192.64.86.202","True","","","False"
"facinggiantsnc.org","153.92.213.212","True","facinggiantsnc.org","True","False"
"falloutshelterecovillage.org","204.44.192.77","False","","","False"
"fencingtogether.org","185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153","False;False;False;False","","","False"
"ffcadmin.org","185.199.110.153;185.199.108.153;185.199.111.153;185.199.109.153","True;True;True;True","freeforcharity.github.io","True","True"
"ffcdomains.com","","","ffchostingmultisite.tempurl.host","True","True"
"ffcdomains.org","","","freeforcharity.org","True","True"
"ffchosting.com","","","ffchosting.com","True","True"
"ffchostingmultisite.org","","","ffchostingmultisite.org","True","True"
"ffchosting.org","","","freeforcharity.org","True","True"
"ffc.ngo","","","freeforcharity.org","True","False"
"ffcsites.org","185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153","True;True;True;True","freeforcharity.github.io","True","False"
"ffcworkingsite1.org","185.199.108.153;185.199.109.153","True;True","freeforcharity.github.io","True","True"
"ffcworkingsite2.org","185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153","False;False;False;False","freeforcharity.github.io","False","True"
"freedomrisingusa.org","185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153","False;False;False;False","freeforcharity.github.io","False","False"
"freeforcharity.ngo","","","","","False"
"freeforcharity.org","66.45.234.13","True","","","True"
"freetoolsfornonprofits.org","","","","","False"
"graftonareahistory.org","141.193.213.10;141.193.213.11","False;False","wp.wpenginepowered.com","False","False"
"harmonycenterfoundation.org","192.64.86.202","True","harmonycenterfoundation.org","True","False"
"hasbeensandgonnabees.org","52.184.222.116","True","hasbeensandgonnabees.org","True","False"
"hunnewellscottages.com","","","hunnewellscottages.com","True","False"
"ieeeforthuachuca.org","54.163.236.200","True","","","False"
"ihadrousa.com","153.92.213.212","True","ihadrousa.com","True","False"
"ihadrousa.org","153.92.213.212","True","ihadrousa.org","True","False"
"instituteofforgiveness.org","204.44.192.77","True","instituteofforgiveness.org","True","False"
"jwvpost619.org","67.211.214.117","True","jwvpost619.org","True","True"
"legion-in-the-woods.org","216.158.234.18","True","","","True"
"legioninthewoods.org","185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153","False;False;False;False","freeforcharity.github.io","False","False"
"letsdanceactivities.com","153.92.213.212","True","letsdanceactivities.com","True","True"
"letsdanceactivities.org","153.92.213.212","True","letsdanceactivities.org","True","True"
"letspiritlead.org","74.50.79.163","True","letspiritlead.org","True","True"
"lifelessonslearned.us.org","153.92.213.212","True","","","False"
"makeacalendarinvite.org","204.44.192.77","True","","","False"
"melaninmagicfoundation.org","66.23.226.51","True","melaninmagicfoundation.org","True","True"
"mitchellnchistory.org","35.212.109.210","True","","","False"
"my-missions.org","153.92.213.212","True","my-missions.org","True","False"
"nittanypost245.org","192.64.86.202","True","","","False"
"nochaos.org","153.92.213.212","True","nochaos.org","True","True"
"ohiomtawest.org","","","ohiomtawest.org","True","False"
"paaboosterclub.org","153.92.213.212","True","","","False"
"pagbooster.org","185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153","False;False;False;False","freeforcharity.github.io","False","True"
"pantryforadaircounty.org","52.184.222.116","True","pantryforadaircounty.org","True","False"
"postpartumcarefoundation.com","153.92.213.212","True","postpartumcarefoundation.com","True","False"
"postpartumcarefoundation.org","153.92.213.212","True","postpartumcarefoundation.org","True","False"
"ptuganda.org","153.92.213.212","True","","","False"
"roottostem.org","52.184.222.116","True","roottostem.org","True","True"
"soulfoodwhangarei.org","52.184.222.116","True","soulfoodwhangarei.org","True","False"
"southamptonfriends.com","","","","","False"
"southamptonfriends.org","192.64.86.202","True","southamptonfriends.org","True","False"
"srrn.net","153.92.213.212","True","srrn.net","True","False"
"ssrn.net","217.19.248.132","True","","","False"
"tamkeensports.org","174.138.190.170","True","","","False"
"technologyadoptionbarriers.org","184.72.224.80;34.227.238.166;3.91.109.122;100.24.182.117;35.172.73.102;34.199.202.106","True;True;True;True;True;True","www.technologyadoptionbarriers.org.c14152.campuspress.com","True","False"
"technologymonastery.org","216.158.234.18","True","","","False"
"technologymonastery.us","192.185.118.32","True","","","False"
"theafghanistanaffairs.org","204.13.238.115","True","theafghanistanaffairs.org","True","False"
"thekccf.org","185.199.111.153;185.199.109.153;185.199.110.153;185.199.108.153","False;False;False;False","koenig-childhood-cancer-foundation.github.io","False","False"
"thelastchancesanctuary.com","153.92.213.212","True","thelastchancesanctuary.com","True","True"
"thetrendylittlegeek.com","204.44.192.77","True","thetrendylittlegeek.com","True","False"
"trendylittlegeek.com","204.44.192.77","True","trendylittlegeek.com","True","False"
"wamhelp.org","66.23.226.51","True","","","False"
"youngfatherscare.org","192.64.86.203","True","youngfatherscare.org","True","False"
